observation,event,start,obs_start,obs_end
sseq105020001,Challenge_Pressure,2,1,4041
sseq105020001,Pass_Complete_Pressure,2038,1,4041
sseq105020001,Shot_Saved_Pressure,4040,1,4041
sseq105020006,Cross_Incomplete_NoPressure,2,1,1805
sseq105020006,Challenge_Pressure,1804,1,1805
sseq105020006,Shot_Blocked_Pressure,1804,1,1805
sseq105020007,Interception,2,1,3
sseq105020007,Shot_Saved_Pressure,2,1,3
sseq105020010,Cross_Incomplete_NoPressure,2,1,2038
sseq105020010,Challenge_Pressure,2037,1,2038
sseq105020010,Shot_Blocked_Pressure,2037,1,2038
sseq105020012,Interception,2,1,3607
sseq105020012,Cross_Incomplete_NoPressure,2,1,3607
sseq105020012,Challenge_Pressure,3606,1,3607
sseq105020012,Shot_Saved_Pressure,3606,1,3607
sseq105020014,Interception,2,1,2205
sseq105020014,Challenge_Pressure,2,1,2205
sseq105020014,Pass_Complete_Pressure,2,1,2205
sseq105020014,Interception,2204,1,2205
sseq105020014,Shot_Saved_Pressure,2204,1,2205
sseq105020016,Challenge_Pressure,2,1,1771
sseq105020016,Pass_Complete_Pressure,2,1,1771
sseq105020016,Pass_Complete_NoPressure,1102,1,1771
sseq105020016,Interception,1770,1,1771
sseq105020016,Shot_Blocked_Pressure,1770,1,1771
sseq105020017,Challenge_Pressure,2,1,2138
sseq105020017,Pass_Complete_LooseBall,2,1,2138
sseq105020017,Shot_Saved_Pressure,2137,1,2138
sseq105020018,Interception,2,1,3
sseq105020018,Shot_Blocked_Pressure,2,1,3
sseq105020019,Interception,2,1,3
sseq105020019,Shot_Saved_NoPressure,2,1,3
sseq105020020,Shot_Saved_NoPressure,2,1,3
sseq105020025,Challenge_Pressure,2,1,8145
sseq105020025,Pass_Complete_Pressure,2,1,8145
sseq105020025,Interception,703,1,8145
sseq105020025,Pass_Complete_NoPressure,703,1,8145
sseq105020025,Interception,3906,1,8145
sseq105020025,Pass_Complete_NoPressure,3906,1,8145
sseq105020025,Interception,5975,1,8145
sseq105020025,Pass_Complete_NoPressure,5975,1,8145
sseq105020025,Interception,8144,1,8145
sseq105020025,Shot_Saved_NoPressure,8144,1,8145
sseq105020028,Interception,2,1,1337
sseq105020028,Pass_Complete_Pressure,2,1,1337
sseq105020028,Interception,1336,1,1337
sseq105020028,Shot_Blocked_Pressure,1336,1,1337
sseq105020029,Recovery_NoPressure,2,1,3473
sseq105020029,Pass_Complete_Pressure,1803,1,3473
sseq105020029,Shot_Blocked_Pressure,3472,1,3473
sseq105030032,Cross_Incomplete_NoPressure,2,1,1872
sseq105030032,Challenge_Pressure,1871,1,1872
sseq105030032,Shot_Blocked_Pressure,1871,1,1872
sseq105030034,Challenge_Pressure,2,1,1705
sseq105030034,Pass_Complete_Pressure,2,1,1705
sseq105030034,Interception,1704,1,1705
sseq105030034,Shot_Saved_LooseBall,1704,1,1705
sseq105030039,Interception,2,1,4007
sseq105030039,Pass_Complete_LooseBall,2,1,4007
sseq105030039,Pass_Complete_NoPressure,3138,1,4007
sseq105030039,Interception,4006,1,4007
sseq105030039,Challenge_Pressure,4006,1,4007
sseq105030039,Challenge_Pressure,4006,1,4007
sseq105030039,Challenge_Pressure,4006,1,4007
sseq105030039,Shot_Blocked_LooseBall,4006,1,4007
sseq105030043,Interception,2,1,4340
sseq105030043,Pass_Complete_NoPressure,2,1,4340
sseq105030043,Interception,4339,1,4340
sseq105030043,Shot_Saved_LooseBall,4339,1,4340
sseq105030045,Interception,2,1,3
sseq105030045,Shot_Blocked_LooseBall,2,1,3
sseq105030046,BallCarry_Pressure,2,1,6610
sseq105030046,Challenge_Pressure,2,1,6610
sseq105030046,Pass_Complete_Pressure,2,1,6610
sseq105030046,Interception,4073,1,6610
sseq105030046,Pass_Complete_LooseBall,4073,1,6610
sseq105030046,Challenge_Pressure,6609,1,6610
sseq105030046,Shot_Blocked_LooseBall,6609,1,6610
sseq105030047,Pass_Complete_NoPressure,2,1,1838
sseq105030047,Pass_Complete_NoPressure,703,1,1838
sseq105030047,Interception,1837,1,1838
sseq105030047,Shot_Saved_Pressure,1837,1,1838
sseq105030049,Touch_NoPressure,2,1,8612
sseq105030049,Challenge_Pressure,1704,1,8612
sseq105030049,Interception,2771,1,8612
sseq105030049,Pass_Complete_LooseBall,2771,1,8612
sseq105030049,Interception,4974,1,8612
sseq105030049,Cross_Incomplete_NoPressure,4974,1,8612
sseq105030049,Challenge_Pressure,8043,1,8612
sseq105030049,Challenge_Pressure,8611,1,8612
sseq105030049,Shot_Saved_NoPressure,8611,1,8612
sseq105040051,Interception,2,1,3
sseq105040051,Shot_Blocked_Pressure,2,1,3
sseq105040052,Challenge_Pressure,2,1,30867
sseq105040052,Challenge_Pressure,2,1,30867
sseq105040052,Pass_Complete_NoPressure,6275,1,30867
sseq105040052,Interception,7609,1,30867
sseq105040052,Pass_Complete_NoPressure,7609,1,30867
sseq105040052,Interception,9945,1,30867
sseq105040052,Pass_Complete_NoPressure,9945,1,30867
sseq105040052,Interception,12381,1,30867
sseq105040052,Pass_Complete_NoPressure,12381,1,30867
sseq105040052,Pass_Complete_NoPressure,15617,1,30867
sseq105040052,Interception,16819,1,30867
sseq105040052,Pass_Complete_NoPressure,16819,1,30867
sseq105040052,Interception,19688,1,30867
sseq105040052,Pass_Complete_NoPressure,19688,1,30867
sseq105040052,Interception,22791,1,30867
sseq105040052,Pass_Complete_NoPressure,22791,1,30867
sseq105040052,Interception,26295,1,30867
sseq105040052,Pass_Complete_LooseBall,26295,1,30867
sseq105040052,Interception,28163,1,30867
sseq105040052,Pass_Complete_LooseBall,28163,1,30867
sseq105040052,Interception,30866,1,30867
sseq105040052,Shot_Saved_LooseBall,30866,1,30867
sseq105040053,Challenge_Pressure,2,1,1104
sseq105040053,Interception,1103,1,1104
sseq105040053,Shot_Saved_LooseBall,1103,1,1104
sseq105040055,Pass_Complete_NoPressure,2,1,14551
sseq105040055,Interception,1704,1,14551
sseq105040055,Pass_Complete_NoPressure,1704,1,14551
sseq105040055,Interception,3506,1,14551
sseq105040055,Pass_Complete_NoPressure,3506,1,14551
sseq105040055,Interception,6175,1,14551
sseq105040055,Pass_Complete_Pressure,6175,1,14551
sseq105040055,Interception,9378,1,14551
sseq105040055,Pass_Complete_NoPressure,9378,1,14551
sseq105040055,Interception,12481,1,14551
sseq105040055,Pass_Complete_NoPressure,12481,1,14551
sseq105040055,Interception,14550,1,14551
sseq105040055,Shot_Saved_LooseBall,14550,1,14551
sseq105040056,Interception,2,1,18622
sseq105040056,Pass_Complete_NoPressure,2,1,18622
sseq105040056,Interception,2371,1,18622
sseq105040056,Pass_Complete_NoPressure,2371,1,18622
sseq105040056,Pass_Complete_NoPressure,6909,1,18622
sseq105040056,Interception,8377,1,18622
sseq105040056,Pass_Complete_NoPressure,8377,1,18622
sseq105040056,Interception,11714,1,18622
sseq105040056,Pass_Complete_LooseBall,11714,1,18622
sseq105040056,Pass_Complete_NoPressure,15351,1,18622
sseq105040056,Interception,16586,1,18622
sseq105040056,Pass_Complete_Pressure,16586,1,18622
sseq105040056,Shot_Blocked_LooseBall,18621,1,18622
sseq105040058,Shot_Blocked_NoPressure,2,1,3
sseq105040059,Pass_Complete_Pressure,2,1,4107
sseq105040059,Interception,770,1,4107
sseq105040059,Pass_Complete_NoPressure,770,1,4107
sseq105040059,Interception,4106,1,4107
sseq105040059,Challenge_Pressure,4106,1,4107
sseq105040059,Shot_Saved_LooseBall,4106,1,4107
sseq105040062,Shot_Saved_NoPressure,2,1,3
