observation,event,start,obs_start,obs_end
gseq105020003,Pass_Complete_NoPressure,2,1,1304
gseq105020003,Shot_Goal_Pressure,1303,1,1304
gseq105020009,Pass_Complete_NoPressure,2,1,8411
gseq105020009,Pass_Complete_Pressure,970,1,8411
gseq105020009,Interception,2238,1,8411
gseq105020009,Challenge_Pressure,2238,1,8411
gseq105020009,Pass_Complete_Pressure,4506,1,8411
gseq105020009,Interception,5174,1,8411
gseq105020009,Pass_Complete_Pressure,5174,1,8411
gseq105020009,Shot_Goal_Pressure,8410,1,8411
gseq105020023,Recovery_NoPressure,2,1,6576
gseq105020023,Pass_Complete_Pressure,1903,1,6576
gseq105020023,Pass_Complete_NoPressure,2604,1,6576
gseq105020023,Interception,4339,1,6576
gseq105020023,Pass_Complete_LooseBall,4339,1,6576
gseq105020023,Shot_Goal_Pressure,6575,1,6576
gseq105020026,Pass_Complete_Pressure,2,1,4707
gseq105020026,Interception,1303,1,4707
gseq105020026,Cross_Incomplete_Pressure,1303,1,4707
gseq105020026,Shot_Goal_NoPressure,4706,1,4707
gseq105030033,Pass_Complete_NoPressure,2,1,7344
gseq105030033,Interception,2004,1,7344
gseq105030033,Pass_Complete_Pressure,2004,1,7344
gseq105030033,Interception,5441,1,7344
gseq105030033,Pass_Complete_LooseBall,5441,1,7344
gseq105030033,Pass_Complete_NoPressure,6843,1,7344
gseq105030033,Interception,7343,1,7344
gseq105030033,Shot_Goal_Pressure,7343,1,7344
gseq105030035,Interception,2,1,3
gseq105030035,Shot_Goal_LooseBall,2,1,3
gseq105040065,Pass_Complete_NoPressure,2,1,25429
gseq105040065,Interception,1037,1,25429
gseq105040065,Pass_Complete_NoPressure,1037,1,25429
gseq105040065,Interception,4407,1,25429
gseq105040065,Pass_Complete_Anticipation,4407,1,25429
gseq105040065,Interception,7610,1,25429
gseq105040065,Pass_Complete_NoPressure,7610,1,25429
gseq105040065,Interception,10646,1,25429
gseq105040065,Pass_Complete_NoPressure,10646,1,25429
gseq105040065,Pass_Complete_Anticipation,12581,1,25429
gseq105040065,Pass_Complete_NoPressure,13749,1,25429
gseq105040065,Interception,15484,1,25429
gseq105040065,Pass_Complete_NoPressure,15484,1,25429
