observation,event,start,obs_start,obs_end
nseq105020001,Challenge_Pressure,2,1,4041
nseq105020001,Pass_Complete_Pressure,2038,1,4041
nseq105020001,Shot_Saved_Pressure,4040,1,4041
nseq105020002,Interception,2,1,3
nseq105020002,Challenge_Pressure,2,1,3
nseq105020002,Shot_OffTarget_Pressure,2,1,3
nseq105020004,Shot_OffTarget_Pressure,2,1,3
nseq105020005,Shot_OffTarget_Pressure,2,1,3
nseq105020006,Cross_Incomplete_NoPressure,2,1,1805
nseq105020006,Challenge_Pressure,1804,1,1805
nseq105020006,Shot_Blocked_Pressure,1804,1,1805
nseq105020007,Interception,2,1,3
nseq105020007,Shot_Saved_Pressure,2,1,3
nseq105020008,Pass_Complete_Pressure,2,1,1672
nseq105020008,Interception,1671,1,1672
nseq105020008,Challenge_Pressure,1671,1,1672
nseq105020008,Shot_OffTarget_Pressure,1671,1,1672
nseq105020010,Cross_Incomplete_NoPressure,2,1,2038
nseq105020010,Challenge_Pressure,2037,1,2038
nseq105020010,Shot_Blocked_Pressure,2037,1,2038
nseq105020011,Interception,2,1,3
nseq105020011,Shot_OffTarget_NoPressure,2,1,3
nseq105020012,Interception,2,1,3607
nseq105020012,Cross_Incomplete_NoPressure,2,1,3607
nseq105020012,Challenge_Pressure,3606,1,3607
nseq105020012,Shot_Saved_Pressure,3606,1,3607
nseq105020013,Interception,2,1,2238
nseq105020013,Pass_Complete_LooseBall,2,1,2238
nseq105020013,Interception,2237,1,2238
nseq105020013,Shot_OffTarget_LooseBall,2237,1,2238
nseq105020014,Interception,2,1,2205
nseq105020014,Challenge_Pressure,2,1,2205
nseq105020014,Pass_Complete_Pressure,2,1,2205
nseq105020014,Interception,2204,1,2205
nseq105020014,Shot_Saved_Pressure,2204,1,2205
nseq105020015,Interception,2,1,3
nseq105020015,Shot_OffTarget_Pressure,2,1,3
nseq105020016,Challenge_Pressure,2,1,1771
nseq105020016,Pass_Complete_Pressure,2,1,1771
nseq105020016,Pass_Complete_NoPressure,1102,1,1771
nseq105020016,Interception,1770,1,1771
nseq105020016,Shot_Blocked_Pressure,1770,1,1771
nseq105020017,Challenge_Pressure,2,1,2138
nseq105020017,Pass_Complete_LooseBall,2,1,2138
nseq105020017,Shot_Saved_Pressure,2137,1,2138
nseq105020018,Interception,2,1,3
nseq105020018,Shot_Blocked_Pressure,2,1,3
nseq105020019,Interception,2,1,3
nseq105020019,Shot_Saved_NoPressure,2,1,3
nseq105020020,Shot_Saved_NoPressure,2,1,3
nseq105020021,Interception,2,1,9279
nseq105020021,Pass_Complete_LooseBall,2,1,9279
nseq105020021,Interception,4073,1,9279
nseq105020021,Pass_Complete_NoPressure,4073,1,9279
nseq105020021,Interception,6375,1,9279
nseq105020021,Pass_Complete_Pressure,6375,1,9279
nseq105020021,Interception,9278,1,9279
nseq105020021,Shot_OffTarget_Pressure,9278,1,9279
nseq105020022,Interception,2,1,3
nseq105020022,Shot_OffTarget_NoPressure,2,1,3
nseq105020024,Pass_Complete_Pressure,2,1,8779
nseq105020024,Pass_Complete_Pressure,1570,1,8779
nseq105020024,Interception,2638,1,8779
nseq105020024,Challenge_Pressure,2638,1,8779
nseq105020024,Pass_Complete_Pressure,2638,1,8779
nseq105020024,Interception,6575,1,8779
